num_ligne;Rentrée scolaire;Code région académique;Région académique;Code académie;Académie;Code département;Département;Code postal;Commune;UAI;Dénomination principale;Patronyme;Secteur;Effectif total;Effectif total filles;Effectif total garçons;0105 - HUMANITES, LITTERATURE ET PHILOSOPHIE - filles;0105 - HUMANITES, LITTERATURE ET PHILOSOPHIE - garcons;0241 - LITTERATURE ET LCA LATIN - filles;0241 - LITTERATURE ET LCA LATIN - garcons;0242 - LITTERATURE ET LCA GREC - filles;0242 - LITTERATURE ET LCA GREC - garcons;0300 - LANGUES, LITTERATURE ET CULTURES ETRANGERES ET REGIONALES - filles;0300 - LANGUES, LITTERATURE ET CULTURES ETRANGERES ET REGIONALES - garcons;0439 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES - filles;0439 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES - garcons;0507 - SCIENCES ECONOMIQUES ET SOCIALES - filles;0507 - SCIENCES ECONOMIQUES ET SOCIALES - garcons;0613 - MATHEMATIQUES - filles;0613 - MATHEMATIQUES - garcons;0623 - PHYSIQUE-CHIMIE - filles;0623 - PHYSIQUE-CHIMIE - garcons;0629 - SCIENCES DE LA VIE ET DE LA TERRE - filles;0629 - SCIENCES DE LA VIE ET DE LA TERRE - garcons;0747 - NUMERIQUE ET SCIENCES INFORMATIQUES - filles;0747 - NUMERIQUE ET SCIENCES INFORMATIQUES - garcons;0825 - DANSE - filles;0825 - DANSE - garcons;0832 - MUSIQUE - filles;0832 - MUSIQUE - garcons;0901 - ARTS PLASTIQUES - filles;0901 - ARTS PLASTIQUES - garçons;2757 - HISTOIRE DES ARTS - filles;2757 - HISTOIRE DES ARTS - garcons;2785 - THEATRE - filles;2785 - THEATRE - garcons;2786 - ARTS DU CIRQUE - filles;2786 - ARTS DU CIRQUE - garcons;2852 - CINEMA-AUDIOVISUEL - filles;2852 - CINEMA-AUDIOVISUEL - garcons;3045 - BIOLOGIE-ECOLOGIE - filles;3045 - BIOLOGIE-ECOLOGIE - garcons;4806 - SCIENCES DE L'INGENIEUR ET SC. PHYSIQUES - filles;4806 - SCIENCES DE L'INGENIEUR ET SC. PHYSIQUES - garcons;0001 - MATHEMATIQUES/PHYSIQUE-CHIMIE - filles;0001 - MATHEMATIQUES/PHYSIQUE-CHIMIE - garcons;0002 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/SCIENCES ECONOMIQUES ET SOCIALES - filles;0002 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/SCIENCES ECONOMIQUES ET SOCIALES - garcons;0003 - PHYSIQUE-CHIMIE/SCIENCES DE LA VIE ET DE LA TERRE - filles;0003 - PHYSIQUE-CHIMIE/SCIENCES DE LA VIE ET DE LA TERRE - garcons;0004 - MATHEMATIQUES/SCIENCES DE LA VIE ET DE LA TERRE - filles;0004 - MATHEMATIQUES/SCIENCES DE LA VIE ET DE LA TERRE - garcons;0005 - MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES - filles;0005 - MATHEMATIQUES/SCIENCES ECONOMIQUES ET SOCIALES - garcons;0006 - LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES - filles;0006 - LANGUES, LITT. ET CULTURES ETRA. ET R./SCIENCES ECONOMIQUES ET SOCIALES - garcons;0007 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/LANGUES, LITT. ET CULTURES ETRA. ET R. - filles;0007 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/LANGUES, LITT. ET CULTURES ETRA. ET R. - garcons;0008 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/HUMANITES, LITTERATURE ET PHILOSOPHIE - filles;0008 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/HUMANITES, LITTERATURE ET PHILOSOPHIE - garcons;0009 - SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - filles;0009 - SCIENCES ECONOMIQUES ET SOCIALES/SCIENCES DE LA VIE ET DE LA TERRE - garcons;0010 - HUMANITES, LITTERATURE ET PHILOSOPHIE/LANGUES, LITT. ET CULTURES ETRA. ET R. - filles;0010 - HUMANITES, LITTERATURE ET PHILOSOPHIE/LANGUES, LITT. ET CULTURES ETRA. ET R. - garcons;0011 - MATHEMATIQUES/NUMERIQUE ET SCIENCES INFORMATIQUES - filles;0011 - MATHEMATIQUES/NUMERIQUE ET SCIENCES INFORMATIQUES - garcons;0012 - HUMANITES, LITTERATURE ET PHILOSOPHIE/SCIENCES ECONOMIQUES ET SOCIALES - filles;0012 - HUMANITES, LITTERATURE ET PHILOSOPHIE/SCIENCES ECONOMIQUES ET SOCIALES - garcons;0013 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES - filles;0013 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/MATHEMATIQUES - garcons;0014 - MATHEMATIQUES/SCIENCES INGE. ET PHY - filles;0014 - MATHEMATIQUES/SCIENCES INGE. ET PHY - garcons;0015 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/SCIENCES DE LA VIE ET DE LA TERRE - filles;0015 - HIST.-GEO. GEOPOLITIQUE & SC.POLITIQUES/SCIENCES DE LA VIE ET DE LA TERRE - garcons;AUTRES COMBINAISONS - filles;AUTRES COMBINAISONS - garcons
26;2020;09;HAUTS-DE-FRANCE;20;AMIENS;002;AISNE;02209;SOISSONS;0020059D;LYCEE GENERAL ET TECHNOLOGIQUE;GERARD DE NERVAL;PUBLIC;218;75;143;13;1;0;0;0;0;43;16;49;25;61;21;20;27;31;23;41;24;0;0;0;0;6;7;22;6;0;0;0;0;0;0;0;0;0;0;0;0;9;14;23;12;20;6;4;5;6;0;18;2;11;6;3;1;10;7;4;0;0;0;1;0;0;0;0;0;0;3;34;19
33;2020;09;HAUTS-DE-FRANCE;20;AMIENS;002;AISNE;02207;SOISSONS;0021874B;LYCEE GEN.ET TECHNOL.PRIVE;SAINT REMY;PRIVE SOUS CONTRAT;97;49;48;7;0;0;0;0;0;11;6;19;13;13;12;9;23;15;19;21;15;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;8;7;11;6;2;6;2;2;2;1;4;3;2;0;1;1;3;0;0;3;0;0;1;1;0;0;4;1;4;7
38;2020;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;003;ALLIER;03107;MONTLUCON;0030026M;LPO LYCEE DES METIERS;PAUL CONSTANS;PUBLIC;133;78;55;15;4;0;0;0;0;0;0;0;0;0;0;15;54;30;42;47;35;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;11;4;23;0;0;26;17;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;7;0;0;16;8
41;2020;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;003;ALLIER;03500;SAINT-POURCAIN-SUR-SIOULE;0030044G;LYCEE GENERAL;BLAISE DE VIGENERE;PUBLIC;112;48;64;17;9;0;0;0;0;21;9;17;10;22;25;10;16;20;13;21;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;6;9;14;4;3;5;3;2;6;6;7;0;3;1;0;4;5;2;0;0;7;4;0;0;0;0;0;0;6;3
42;2020;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;003;ALLIER;03306;CUSSET;0030051P;LGT LYCEE DES METIERS;ALBERT LONDRES;PUBLIC;321;134;187;25;6;0;0;0;0;41;17;62;37;56;32;56;77;56;54;61;25;0;9;0;0;0;0;16;3;0;0;0;0;0;0;0;0;0;0;1;8;22;43;27;22;34;10;15;12;6;4;13;4;13;7;8;3;4;2;8;2;0;7;6;0;4;3;1;7;5;1;21;7
56;2020;18;PROVENCE-ALPES-COTE D'AZUR;02;AIX-MARSEILLE;005;HAUTES-ALPES;05010;GAP;0050006E;LYCEE GENERAL ET TECHNOLOGIQUE;DOMINIQUE VILLARS;PUBLIC;173;82;91;4;5;1;0;0;0;27;13;28;20;20;23;30;45;30;32;13;9;1;4;0;0;0;0;28;5;0;0;0;0;0;0;0;0;0;0;0;8;20;25;15;12;10;4;3;4;1;6;3;5;2;4;0;3;0;0;2;1;1;4;0;0;3;0;0;4;0;0;31;10
65;2020;18;PROVENCE-ALPES-COTE D'AZUR;23;NICE;006;ALPES-MARITIMES;06500;MENTON;0060026W;LYCEE GENERAL ET TECHNOLOGIQUE;PIERRE ET MARIE CURIE;PUBLIC;196;95;101;11;5;0;0;0;0;42;23;31;36;54;30;27;35;11;20;11;16;4;14;0;0;0;0;11;11;0;0;0;0;0;0;0;0;0;0;0;0;5;11;21;18;5;8;3;3;13;4;18;8;6;8;2;3;2;0;8;1;2;13;0;0;0;1;0;0;1;5;15;12
68;2020;18;PROVENCE-ALPES-COTE D'AZUR;23;NICE;006;ALPES-MARITIMES;06000;NICE;0060031B;LYCEE GENERAL ET TECHNOLOGIQUE;ALBERT CALMETTE;PUBLIC;327;157;170;24;3;0;0;0;0;57;25;61;32;60;43;46;83;49;71;41;32;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;52;26;21;22;16;9;4;6;8;21;8;21;5;13;0;4;2;8;2;1;12;3;1;0;3;0;0;1;2;8;21
70;2020;18;PROVENCE-ALPES-COTE D'AZUR;23;NICE;006;ALPES-MARITIMES;06206;NICE;0060075Z;LYCEE GENERAL ET TECHNOLOGIQUE;LES EUCALYPTUS;PUBLIC;119;73;46;0;0;0;0;0;0;0;0;0;0;0;0;32;66;38;50;19;10;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;17;24;43;0;0;14;7;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;17;0;0;0;0
78;2020;18;PROVENCE-ALPES-COTE D'AZUR;23;NICE;006;ALPES-MARITIMES;06046;NICE;0060773H;LYCEE GEN.ET TECHNOL.PRIVE;DON BOSCO;PRIVE SOUS CONTRAT;103;52;51;0;0;0;0;0;0;0;0;12;10;17;17;28;37;26;27;19;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;24;11;10;12;3;7;4;6;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;2;0;0;0;1
